	variance
ADAD1	0.0160882
ADAD2	0.0235351
ADAL	0.0716356
ADAM10	0.0499466
ADAM11	0.0238304
ADAM12	0.031824
ADAM15	0.427232
ADAM17	0.064892
ADAM18	0.0217307
ADAM19	0.021878
ADAM2	0.0739849
ADAM20	0.0211399
ADAM21	0.0179831
ADAM22	0.0119331
ADAM23	0.0318711
ADAM28	0.0721407
ADAM29	0.0318988
ADAM30	0.018456
ADAM32	0.0861337
ADAM33	0.0115841
ADAM5	0.00760542
ADAM6	0.00854311
ADAM7	0.159776
ADAM8	0.308509
ADAM9	0.359947
ADAMDEC1	0.811222
ADAMTS1	0.400855
ADAMTS10	0.0186254
ADAMTS12	0.016789
ADAMTS13	0.0176043
ADAMTS14	0.0171233
ADAMTS15	0.0257713
ADAMTS16	0.0145486
ADAMTS17	0.0228568
ADAMTS18	0.0118411
ADAMTS2	0.0502044
ADAMTS20	0.0110292
ADAMTS3	0.0258852
ADAMTS5	0.125002
ADAMTS6	0.066893
ADAMTS7	0.0312248
ADAMTS8	0.131614
ADAMTS9	0.346342
ADAMTSL1	0.00797681
ADAMTSL2	0.452653
ADAMTSL3	0.0516224
ADAMTSL4	0.0396632
ADAMTSL4-AS1	0.0230341
ADAP1	0.508654
ADAP2	0.402778
ADAR	0.297533
ADARB1	0.134942
ADARB2	0.0358279
ADARB2-AS1	0.0272434
ADAT2	0.0215842
ADCK1	0.143113
ADCK2	0.146668
ADCK3	0.0881559
ADCK4	0.1386
ADCK5	0.126234
ADCY1	0.99234
ADCY10	0.0215117
ADCY2	0.0490438
ADCY3	0.29031
ADCY4	0.537605
ADCY5	0.0452851
ADCY6	0.253879
ADCY7	0.0756494
ADCY8	0.0424253
ADCY9	0.380695
ADCYAP1	0.248527
ADCYAP1R1	0.016493
ADD1	0.0760831
ADD2	0.00983166
ADD3	0.496263
ADGB	0.0164493
ADH1A	2.0987
ADH1C	0.289604
ADH4	0.0173235
ADH5	0.0301968
ADH6	0.0171301
ADH7	0.0177162
ADHFE1	0.215165
ADI1	0.080346
ADIG	0.0197172
ADIPOR1	0.197385
ADIPOR2	0.538412
ADIRF	1.82307
ADK	0.0766874
ADM	1.50528
ADNP	0.0821345
ADNP2	0.114862
ADO	0.119111
ADORA1	0.0215118
ADORA2A	0.651997
ADORA2B	0.233029
ADORA3	0.288526
ADPGK	0.0963393
ADPRH	0.114251
ADPRHL1	0.0496307
ADPRHL2	0.13985
ADPRM	0.0894204
ADRA1A	0.0062786
ADRA1B	0.143748
ADRA1D	0.052017
ADRA2A	0.242728
ADRA2B	0.0383907
ADRA2C	0.0202822
ADRB1	0.075705
ADRB2	0.284558
ADRB3	0.0181133
ADRBK2	0.0230481
ADRM1	0.204188
ADSL	0.164002
ADSS	0.223939
ADSSL1	0.0285645
ADTRP	0.172124
AEBP1	1.13292
AEBP2	0.0768872
AEN	0.163119
AES	0.189136
AFAP1	0.0576538
AFAP1L2	0.369082
AFF1	0.0611278
AFF2	0.0410437
AFF3	0.190398
AFF4	0.116634
AFG3L1P	0.00770768
AFG3L2	0.194775
AFM	0.0250085
AFMID	0.436373
AFP	0.735982
AFTPH	0.233351
AGA	0.249474
AGAP1	0.0117078
AGAP11	0.0462258
AGAP2	0.0202094
AGAP3	0.0991757
AGAP4	0.0200534
AGAP7P	0.067211
AGAP8	0.0393921
AGAP9	0.0251348
AGBL1	0.00982623
AGBL2	0.0246733
AGBL3	0.0201325
AGBL4	0.0407078
AGBL5	0.108342
AGER	0.0176841
AGFG1	3.50689
AGFG2	0.0161475
AGGF1	0.0812451
AGL	0.0145923
AGMAT	0.0342233
AGMO	0.0167686
AGO1	0.0930133
AGO2	0.605551
AGO3	0.0296309
AGO4	0.044004
AGPAT1	0.0111971
AGPAT2	0.230383
AGPAT3	0.0453614
AGPAT4	0.499826
AGPAT5	0.185181
AGPAT6	0.045056
AGPAT9	0.209114
AGPS	0.454851
AGR2	2.04301
AGR3	2.05619
AGRN	0.139965
AGRP	0.0169148
AGT	0.817432
AGTPBP1	0.0524462
AGTR1	2.31382
AGTR2	0.0324814
AGTRAP	0.171275
AGXT	0.0329947
AHCTF1	0.154785
AHCY	0.502955
AHCYL1	0.275476
AHCYL2	0.177406
AHDC1	0.176988
AHI1	0.297981
AHNAK	0.28947
AHNAK2	0.0120566
AHR	0.169505
AHSA1	0.160049
AHSA2	0.336652
AHSG	0.0312137
AHSP	0.0427733
AICDA	0.0273072
AIDA	0.247399
AIF1	0.65996
AIF1L	0.628857
AIFM1	0.0666997
AIFM2	0.0633031
AIFM3	0.0630345
AIG1	0.33147
AIM1	0.143486
AIM1L	0.0122649
AIM2	0.166472
AIMP1	0.0136531
AIMP2	0.151442
AIP	0.18071
AIPL1	0.0122812
AIRE	0.00912281
AJAP1	0.0337738
AJUBA	0.0120231
AK2	0.175725
AK3	1.58067
AK5	0.108914
AK7	0.0192084
AK8	0.0437445
AK9	0.0527936
AKAP1	0.0591978
AKAP10	0.100303
AKAP11	0.184526
AKAP12	0.0246156
AKAP13	0.106838
AKAP14	0.0324363
AKAP17A	0.135963
AKAP2	0.0056107
AKAP3	0.0246524
AKAP4	0.00958475
AKAP5	0.0170089
AKAP7	0.0123435
AKAP8	0.107969
AKAP8L	0.287357
AKAP9	0.0122686
AKIP1	0.0715284
AKIRIN1	0.297765
AKIRIN2	0.166013
AKNA	0.450715
AKNAD1	0.0203389
AKR1A1	0.194219
AKR1B1	0.516529
AKR1B10	0.539827
AKR1C1	0.309753
AKR1C2	1.67585
AKR1C3	1.20737
AKR1C4	0.0173124
AKR1CL1	0.0198557
AKR1D1	0.0919104
AKR1E2	0.049773
AKR7A2	0.323416
AKR7A2P1	0.0174056
AKR7A3	1.35646
AKT1	0.308816
AKT1S1	0.0942836
AKT2	0.0430191
AKT3	0.00986158
AKTIP	0.15832
ALAD	0.0211753
ALAS1	0.021047
ALAS2	0.00930764
ALB	1.61139
ALCAM	1.16837
ALDH18A1	0.197094
ALDH1A1	0.709624
ALDH1A2	0.215334
ALDH1A3	0.795077
ALDH1L1	0.19436
ALDH1L2	0.0546373
ALDH2	0.656977
ALDH3A1	0.0719802
ALDH3A2	0.560644
ALDH3B1	0.0887497
ALDH3B2	0.224392
ALDH4A1	0.158346
ALDH5A1	0.213504
ALDH6A1	0.275539
ALDH7A1	0.265871
ALDH8A1	0.0108214
ALDH9A1	0.213201
ALDOA	0.23057
ALDOB	0.240846
ALDOC	0.930515
ALG1	0.0468795
ALG10B	0.0747648
ALG11	0.107415
ALG12	0.0426984
ALG13	0.134986
ALG14	0.140945
ALG1L	0.54743
ALG2	0.0193535
ALG3	0.222071
ALG5	0.269443
ALG6	0.16923
ALG8	0.536195
ALG9	0.101406
ALK	0.0426788
ALKBH1	0.114768
ALKBH2	0.19753
ALKBH3	0.223899
ALKBH4	0.0575733
ALKBH5	0.140935
ALKBH6	0.10988
ALKBH7	0.183411
ALLC	0.0091479
ALMS1	0.113274
ALOX12	0.0535341
ALOX12B	0.0345536
ALOX15	0.0149299
ALOX15B	0.68133
ALOX5	0.158308
ALOX5AP	0.963568
ALOXE3	0.0330692
ALPI	0.0232191
ALPK2	0.379645
ALPK3	0.0242054
ALPL	1.23411
ALS2	0.0847782
ALS2CL	0.00930758
ALS2CR11	0.0197649
ALS2CR12	0.0298857
ALX1	0.0432805
ALX3	0.015275
ALX4	0.0209458
ALYREF	0.439642
AMACR	0.133776
AMBN	0.00758782
AMBP	0.0226497
AMBRA1	0.0290495
AMD1	0.410361
AMDHD1	0.228438
AMDHD2	0.242798
AMELX	0.0206094
AMELY	0.0161459
AMER1	0.230595
AMER2	0.0203691
AMER3	0.0188502
AMFR	0.362279
AMH	0.274374
AMHR2	0.0555002
AMICA1	0.547975
AMIGO1	0.0240187
AMIGO3	0.021923
AMMECR1	0.142968
AMMECR1L	0.115064
AMN	0.0179108
AMN1	0.0767011
AMOT	0.417565
AMOTL1	0.0222848
AMOTL2	0.0414821
AMPD1	0.156364
AMPD2	0.0120186
AMPD3	0.00861485
AMPH	0.191167
AMT	0.338465
AMTN	0.359081
AMY1A	0.0945184
AMY2A	0.013603
AMY2B	0.0233439
AMZ2	0.0875112
AMZ2P1	0.0157665
ANAPC1	0.0306879
ANAPC10	0.159406
ANAPC11	0.0146547
ANAPC13	0.194303
ANAPC15	0.132495
ANAPC16	0.207469
ANAPC2	0.0266906
ANAPC4	0.138705
ANAPC5	0.0891171
ANAPC7	0.169961
ANG	0.651612
ANGEL1	0.123624
ANGEL2	0.23796
ANGPT1	0.194045
ANGPT2	0.307086
ANGPT4	0.0211991
ANGPTL1	0.0146953
ANGPTL2	0.778864
ANGPTL3	0.00916333
ANGPTL4	0.0406449
ANGPTL5	0.0254253
ANGPTL6	0.029902
ANGPTL7	0.0775068
ANK1	0.0209906
ANK2	0.0320328
ANK3	0.11506
ANKAR	0.0284101
ANKDD1B	0.0184591
ANKFN1	0.0304366
ANKFY1	0.0476246
ANKH	0.018985
ANKHD1	0.110575
ANKK1	0.0554342
ANKLE2	0.0198967
ANKMY1	0.0135314
ANKMY2	0.160197
ANKRA2	0.195279
ANKRD1	0.0824051
ANKRD10	0.221174
ANKRD11	0.0571891
ANKRD12	0.14698
ANKRD13A	0.161612
ANKRD13B	0.0585563
ANKRD13C	0.0527415
ANKRD13D	0.0137048
ANKRD16	0.111132
ANKRD17	0.0755625
ANKRD18A	0.0304774
ANKRD19P	0.0698681
ANKRD2	0.020091
ANKRD20A1	0.053915
ANKRD20A2	0.028332
ANKRD20A4	0.00680105
ANKRD22	0.432906
ANKRD23	0.0285104
ANKRD24	0.0625837
ANKRD26	0.166138
ANKRD27	0.0994286
ANKRD28	0.0787654
ANKRD29	0.207753
ANKRD30A	5.37706
ANKRD30B	0.962407
ANKRD30BP1	0.0161651
ANKRD31	0.0147542
ANKRD32	0.0404422
ANKRD33	0.760036
ANKRD33B	0.022449
ANKRD34A	0.046381
ANKRD34B	0.0317043
ANKRD34C	0.0136575
ANKRD35	0.20543
ANKRD36	0.0136388
ANKRD36B	0.255188
ANKRD37	0.414146
ANKRD39	0.154028
ANKRD40	0.0918485
ANKRD42	0.0207315
ANKRD44	0.014704
ANKRD46	0.229496
ANKRD49	0.121186
ANKRD50	0.469118
ANKRD53	0.0187319
ANKRD55	0.0459108
ANKRD6	0.0867096
ANKRD60	0.0258658
ANKRD62	0.0511809
ANKRD7	0.0202477
ANKRD9	0.153448
ANKS1A	0.129691
ANKS1B	0.0622386
ANKS3	0.129235
ANKS6	0.00836233
ANKZF1	0.0236358
ANLN	0.309029
ANO1	0.798358
ANO1-AS2	0.01602
ANO10	0.196006
ANO2	0.207212
ANO3	0.180264
ANO4	0.0341005
ANO5	0.0198453
ANO6	0.189793
ANO7	0.0144206
ANO8	0.193458
ANO9	0.16132
ANP32A	0.0692257
ANP32B	0.116613
ANP32C	0.0154622
ANP32D	0.0138122
ANP32E	0.0301745
ANPEP	1.49029
ANTXR1	0.239183
ANTXRL	0.028592
ANXA1	0.851166
ANXA10	0.023111
ANXA11	0.133298
ANXA13	0.0205045
ANXA2	0.586332
ANXA2P1	0.52996
ANXA2P3	0.0814074
ANXA2R	0.487101
ANXA3	0.281298
ANXA4	0.119399
ANXA5	0.256643
ANXA7	0.0355116
ANXA8	0.0152849
ANXA8L2	0.335949
ANXA9	0.862327
AOC1	0.274283
AOC2	0.0102991
AOC3	0.0182344
AOX1	0.606919
AOX2P	0.0157241
AP1AR	0.0308014
AP1B1	0.106981
AP1G1	0.135376
AP1G2	0.0715772
AP1M1	0.143368
AP1M2	0.138812
AP1S1	0.375341
AP1S2	0.364263
AP1S3	0.0167679
AP2A1	0.0862319
AP2A2	0.0967217
AP2B1	0.29725
AP2M1	0.13265
AP2S1	0.112836
AP3B1	0.119321
AP3B2	0.281716
AP3D1	0.118835
AP3M1	0.224939
AP3M2	0.356224
AP3S1	1.62714
AP3S2	0.12112
AP4B1	0.122121
AP4E1	0.0816164
AP4M1	0.084524
AP4S1	0.0229413
AP5M1	0.0434132
AP5S1	0.117119
AP5Z1	0.0641696
APAF1	0.0356411
APBA1	0.00774241
APBA2	0.0311711
APBA3	0.0985267
APBB1	0.0118348
APBB1IP	0.476152
APBB3	0.315233
APC	0.0298069
APC2	0.0207934
APCDD1	0.42787
APCDD1L	0.802101
APCS	0.023314
APEH	0.208465
APEX1	0.170459
APEX2	0.190227
APH1A	0.249199
APH1B	0.269075
API5	0.128947
APIP	0.168263
APLN	0.139893
APLNR	0.482155
APLP1	0.403061
APLP2	0.40238
APMAP	0.274852
APOA1	0.0774786
APOA1BP	0.264305
APOA2	0.0205349
APOA4	0.0161826
APOA5	0.0200255
APOB	0.0205821
APOBEC1	0.0184347
APOBEC2	0.0505407
APOBEC3A	0.0270977
APOBEC3B	0.45593
APOBEC3C	0.0859731
APOBEC3D	0.0239412
APOBEC3F	0.220257
APOBEC3G	0.519315
APOBEC3H	0.135964
APOBEC4	0.0209278
APOC1	1.04804
APOC2	0.31417
APOC3	0.0250357
APOC4	0.0139306
APOD	3.63852
APOE	0.766997
APOH	0.0207561
APOL1	0.0254011
APOL2	0.0111962
APOL3	0.0129726
APOL4	0.018494
APOL5	0.0183245
APOM	0.13805
APOOL	0.0977982
APP	0.699414
APPBP2	0.135658
APPL1	0.131769
APPL2	0.205993
APRT	0.257625
APTX	0.131656
AQP1	0.102903
AQP10	0.0178624
AQP11	0.475087
AQP12B	0.019347
AQP3	0.0775512
AQP4	0.0129684
AQP4-AS1	0.0390888
AQP5	0.306142
AQP6	0.0467123
AQP7	0.0522213
AQP7P1	0.0582152
AQP8	0.0303034
AQP9	0.67032
AQR	0.0497504
AR	0.179879
ARAF	0.154845
ARAP1	0.0416896
ARAP2	0.101278
ARAP3	0.321597
ARC	0.0699649
AREL1	0.0170775
ARF1	0.0551064
ARF3	0.15847
ARF4	0.301808
ARF5	0.171188
ARF6	0.0429219
ARFGAP1	0.183125
ARFGAP2	0.109901
ARFGAP3	0.30281
ARFGEF1	0.154489
ARFGEF2	0.147094
ARFIP1	0.0533655
ARFRP1	0.0655123
ARG1	0.0176729
ARG2	0.0609251
ARGLU1	0.302154
ARHGAP1	0.165963
ARHGAP10	0.266831
ARHGAP11A	0.0146236
ARHGAP11B	0.0267571
ARHGAP12	0.0463437
ARHGAP15	0.613813
ARHGAP17	0.0974613
ARHGAP18	0.0529533
ARHGAP19	0.136454
ARHGAP20	0.0496878
ARHGAP21	0.239297
ARHGAP22	0.214269
ARHGAP23	0.0199644
ARHGAP24	0.0420597
ARHGAP25	0.0142007
ARHGAP26	0.0327655
ARHGAP27	0.0257533
ARHGAP28	0.093858
ARHGAP29	0.0257458
ARHGAP30	0.378727
ARHGAP31	0.0707174
ARHGAP32	0.636603
ARHGAP33	0.310665
ARHGAP35	0.0195079
ARHGAP36	0.411597
ARHGAP39	0.497565
ARHGAP4	0.371129
ARHGAP42	0.0209558
ARHGAP44	0.350244
ARHGAP5	0.0242567
ARHGAP6	0.00531886
ARHGAP9	0.445546
ARHGDIA	0.213513
ARHGDIB	0.389405
ARHGEF1	0.0885211
ARHGEF10	0.0770021
ARHGEF10L	0.0226448
ARHGEF11	0.0805792
ARHGEF12	0.147827
ARHGEF15	0.0348009
ARHGEF16	0.182983
ARHGEF17	0.166423
ARHGEF18	0.147093
ARHGEF19	0.31837
ARHGEF2	0.372717
ARHGEF25	0.0124302
ARHGEF28	0.0156511
ARHGEF3	0.397586
ARHGEF35	0.0201876
ARHGEF37	0.441702
ARHGEF38	0.0279594
ARHGEF39	0.0794517
ARHGEF4	0.0514348
ARHGEF40	0.0628067
ARHGEF5	0.0119188
ARHGEF6	0.566342
ARHGEF7	0.0101038
ARHGEF9	0.0391416
ARID1A	0.0572351
ARID1B	0.00810007
ARID2	0.0804592
ARID3A	0.187981
ARID3B	0.107795
ARID3C	0.0159019
ARID4A	0.0341135
ARID4B	0.330879
ARID5A	0.047164
ARID5B	0.412079
ARIH1	0.125555
ARIH2	0.176339
ARL1	0.17619
ARL11	0.0217283
ARL13A	0.0149561
ARL13B	0.0191464
ARL14	0.0423421
ARL15	0.0244109
ARL16	0.200543
ARL17A	0.0944197
ARL2	0.182329
ARL2BP	0.162078
ARL3	0.316482
ARL4A	0.0628278
ARL4C	0.0898735
ARL4D	0.0314903
ARL5A	0.160034
ARL5B	0.0715967
ARL5C	0.0161462
ARL6	0.00594669
ARL6IP1	0.0926805
ARL6IP4	0.0530733
ARL6IP5	0.220794
ARL6IP6	0.0809049
ARL8A	0.0407125
ARL8B	0.163884
ARL9	0.57101
ARMC1	0.208481
ARMC10	0.0771378
ARMC12	0.0806337
ARMC2	0.0113376
ARMC4	0.0584775
ARMC5	0.0815009
ARMC6	0.0795925
ARMC7	0.14961
ARMC8	0.0268041
ARMC9	0.036172
ARMCX1	0.331693
ARMCX2	0.71942
ARMCX3	0.187202
ARMCX5	0.106261
ARMCX6	0.203945
ARNT	0.0358502
ARNT2	1.12645
ARNTL	0.0422425
ARNTL2	0.0271538
ARPC1A	0.164514
ARPC1B	0.366622
ARPC2	0.040331
ARPC4	0.220479
ARPC5	0.286302
ARPC5L	0.201015
ARPIN	0.250245
ARPP19	0.16522
ARPP21	0.0957661
ARR3	0.0220492
ARRB1	0.410523
ARRB2	0.0267953
ARRDC1	0.111322
ARRDC2	0.0183522
ARRDC3	0.113163
ARRDC4	0.116876
ARRDC5	0.143736
ARSA	0.176125
ARSB	0.0326945
ARSD	0.302422
ARSE	0.0354003
ARSF	0.0403509
ARSG	0.524866
ARSH	0.028031
ARSI	0.0220052
ARSJ	0.132586
ARSK	0.049218
ART1	0.0251872
ART3	0.961609
ART4	0.0598541
ART5	0.0145458
ARTN	0.010574
ARV1	0.216038
ARX	0.079537
AS3MT	0.207065
ASAH1	0.122277
ASAH2	0.0095603
ASAH2B	0.0101248
ASAP1	0.189658
ASAP2	0.207408
ASAP3	0.329442
ASB1	0.138861
ASB10	0.0354206
ASB11	0.0134517
ASB12	0.0186207
ASB13	0.555067
ASB14	0.0207146
ASB15	0.0175741
ASB16	0.0942857
ASB16-AS1	0.0630465
ASB17	0.008572
ASB2	0.018752
ASB4	0.00956436
ASB5	0.014877
ASB6	0.125442
ASB7	0.0353231
ASB8	0.0738852
ASB9	0.33161
ASCC2	0.169281
ASCC3	0.0938249
ASCL1	1.39222
ASCL2	1.16262
ASCL3	0.0149083
ASCL4	0.0313404
ASF1A	0.124961
ASF1B	0.383592
ASGR1	0.082432
ASGR2	0.0253633
ASH1L	0.0284772
ASH2L	0.419631
ASIC1	0.0552724
ASIC2	0.0766084
ASIC3	0.0593012
ASIC4	0.00818531
ASIC5	0.0145096
ASIP	0.115132
ASL	0.0159167
ASMTL	0.201216
ASNA1	0.0288416
ASNS	0.260636
ASNSD1	0.126323
ASPA	0.0739229
ASPDH	0.0191689
ASPH	0.261069
ASPHD1	0.031304
ASPHD2	0.133267
ASPM	0.767922
ASPN	0.0169045
ASPRV1	0.0489122
ASPSCR1	0.0695738
ASRGL1	0.235176
ASS1	1.10338
ASTE1	0.0783685
ASTL	0.0167894
ASTN1	0.0291254
ASTN2	0.241552
ASUN	0.0849087
ASXL1	0.110083
ASXL2	0.140107
ASXL3	0.0259442
ASZ1	0.00968212
ATAD1	0.0989568
ATAD2	0.494319
ATAD3A	0.223181
ATAD3B	0.016769
ATAD3C	0.0369912
ATAD5	1.69709
ATCAY	0.025128
ATE1	0.0188092
ATF1	0.0655987
ATF2	0.0756154
ATF3	0.0959191
ATF4	0.276657
ATF5	0.243404
ATF6	0.22623
ATF6B	0.0244274
ATF7IP	0.0302995
ATF7IP2	0.304875
ATG10	0.0539258
ATG101	0.163632
ATG13	0.0345467
ATG14	0.128095
ATG16L1	0.227557
ATG16L2	0.171207
ATG2A	0.0950138
ATG2B	0.0406398
ATG3	0.0433823
ATG4A	0.021942
ATG4B	0.0803289
ATG4C	0.0383041
ATG4D	0.0226231
ATG5	0.159792
ATG7	0.15539
ATG9A	0.105376
ATG9B	0.0398329
ATHL1	1.72782
ATIC	0.175522
ATL1	0.298718
ATL2	0.290528
ATL3	0.334691
ATM	0.00882542
ATMIN	0.0716239
ATN1	0.0253854
ATOH1	0.0180941
ATOH7	0.0076672
ATOH8	0.0585681
ATOX1	0.23433
ATP10A	0.0266875
ATP10D	0.0221635
ATP11A	0.00995328
ATP11B	0.199017
ATP11C	0.10094
ATP12A	0.0474267
ATP13A1	0.34089
ATP13A2	0.196172
ATP13A3	0.0171997
ATP13A4	0.0701584
ATP13A5	0.717295
ATP1A1	0.734393
ATP1A2	0.188779
ATP1A3	0.0203335
ATP1A4	0.0423574
ATP1B1	1.18178
ATP1B2	0.0817283
ATP1B3	0.468054
ATP1B4	0.0197968
ATP2A1	0.00883002
ATP2A2	0.162556
ATP2A3	0.255087
ATP2B1	0.0258064
ATP2B2	0.0236813
ATP2B3	0.0109582
ATP2B4	0.395902
ATP2C1	0.156434
ATP2C2	0.50843
ATP4A	0.0219191
ATP4B	0.00637251
ATP5A1	0.142877
ATP5B	0.110538
ATP5C1	0.222126
ATP5D	0.132705
ATP5E	0.0938341
ATP5EP2	0.129514
ATP5F1	0.228094
ATP5G1	0.136971
ATP5G2	0.0394972
ATP5G3	0.0880605
ATP5H	0.160247
ATP5I	0.173266
ATP5J	0.241289
ATP5J2	0.0406149
ATP5L	0.138235
ATP5O	0.182669
ATP5S	0.126028
ATP6AP1	0.279177
ATP6AP1L	0.221056
ATP6AP2	0.210564
ATP6V0A1	0.212662
ATP6V0A2	0.0995351
ATP6V0A4	0.0760473
ATP6V0B	0.163483
ATP6V0C	0.151689
ATP6V0D1	0.369677
ATP6V0E1	0.145816
ATP6V0E2	0.520469
ATP6V1A	0.149792
ATP6V1B1	2.57415
ATP6V1B2	0.253026
ATP6V1C1	0.0701563
ATP6V1C2	0.0764661
ATP6V1D	0.143668
ATP6V1E1	0.125836
ATP6V1E2	0.170151
ATP6V1F	0.122297
ATP6V1G1	0.200118
ATP6V1G2	0.116315
ATP6V1G3	0.00953184
ATP6V1H	0.0884401
ATP7A	0.0187586
ATP7B	0.197094
ATP8A1	0.0401224
ATP8A2	0.0349535
ATP8B1	0.121848
ATP8B2	0.0494972
ATP8B3	0.233062
ATP9A	0.023499
ATP9B	0.152953
ATPAF1	0.200702
ATPAF2	0.0726106
ATPIF1	0.147736
ATR	0.00618229
ATRAID	0.114304
ATRIP	0.265617
ATRN	0.0214638
ATRX	0.0478529
ATXN1	0.121935
ATXN10	0.0445805
ATXN1L	0.135242
ATXN2	0.175845
